NOME;VALOR TOTAL;VU;AREA;TESTADA;ESQUINA;FRENTES;DIST_MAR;ZONEAMENTO;PAVIMENTOS;CONDOMINIO_FECHADO;PAVIMENTO;TOPOGRAFIA;N;E;DATA;FONTE
JUR_01;2100000;3500,00; 600;20,0;0;1; 166;ARP-2.4;2;0;SIM;PLANO;6962450;747285;2017-06-22;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+600m2+RS2100000/ID-10973829/?paginaoferta=6
JUR_02; 690000;1533,33; 450;15,0;0;1; 755;ARP-2.4;2;0;SIM;PLANO;6961896;747119;2017-06-22;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+RS690000/ID-13033309/?paginaoferta=9
JUR_03; 850000;1888,89; 450;15,0;0;1; 660;ARP-2.4;2;0;SIM;PLANO;6961946;747371;2017-06-23;https://www.vivareal.com.br/imovel/lote-terreno-jurere-internacional-bairros-florianopolis-venda-RS850000-id-81063303/
JUR_04;4800000;4571,43;1050;30,0;0;1;  33;ARP-2.4;2;0;SIM;PLANO;6962538;747619;2017-06-22;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+RS4800000/ID-10630788/?paginaoferta=10
JUR_05; 900000;2000,00; 450;15,0;0;1; 373;ARP-2.4;2;0;SIM;PLANO;6962278;747089;2017-06-22;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+RS900000/ID-12970905/?paginaoferta=1
JUR_06; 880000;1512,03; 582;20,0;1;2;1094;ARP-2.4;2;0;SIM;PLANO;6961545;747118;2017-06-22;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+582m2+RS880000/ID-10973670/?paginaoferta=2
JUR_07; 950000;2111,11; 450;15,0;0;1; 360;ARP-2.4;2;0;SIM;PLANO;6962221;747640;2017-06-22;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+RS950000/ID-12798647/?paginaoferta=2
JUR_08;3200000;2666,67;1200;30,0;1;3; 230;ARP-2.4;2;0;SIM;PLANO;6962428;747172;2017-06-22;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+1.200m2+RS3200000/ID-10973690/?paginaoferta=3
JUR_09; 850000;1888,89; 450;15,0;0;1; 562;ARP-2.4;2;0;SIM;PLANO;6962090;747053;2017-06-22;http://www.imovelweb.com.br/propriedades/terreno-residencial-a-venda-jurere-internacional-2931340359.html
JUR_10;1100000;1864,41; 590;20,0;0;1; 977;ARP-2.4;2;0;SIM;PLANO;6961628;747248;2017-06-22;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+590m2+RS1100000/ID-13249012/?paginaoferta=8
